review_id,document_id,issue_id,issue_title_en,case_type_en,law_category,stance,task_preview,court_result_preview,example_model,example_answer_preview,score_summary
RV001,DOC-001,CASE-001-I01,Whether the buyer's payment obligation was triggered after equipment acceptance,Sales contract dispute,Contract,Oppose court result,Closed-book Chinese civil-case analysis. The model must oppose court result for issue: Whether the buyer's payment obligation was triggered after equipment acceptance.,"Court result: payment obligations were triggered after delivery, acceptance/use records, and no timely quality objection.",Grok 4.20,English preview only: model generated a two-paragraph legal analysis grounded in cited Chinese authorities for the oppose court result stance.,A/B/C=3.0/4.0/3.0
RV002,DOC-001,CASE-001-I01,Whether the buyer's payment obligation was triggered after equipment acceptance,Sales contract dispute,Contract,Support court result,Closed-book Chinese civil-case analysis. The model must support court result for issue: Whether the buyer's payment obligation was triggered after equipment acceptance.,"Court result: payment obligations were triggered after delivery, acceptance/use records, and no timely quality objection.",Grok 4.20,English preview only: model generated a two-paragraph legal analysis grounded in cited Chinese authorities for the support court result stance.,A/B/C=3.0/4.0/4.0
RV031,DOC-006,CASE-006-I01,Whether elevator-installation participants may remove obstruction despite voting defects,Removal-of-obstruction dispute,Property,Oppose court result,Closed-book Chinese civil-case analysis. The model must oppose court result for issue: Whether elevator-installation participants may remove obstruction despite voting defects.,"Court result: voting defects did not by themselves defeat the elevator plan, and obstruction could be removed.",Grok 4.20,English preview only: model generated a two-paragraph legal analysis grounded in cited Chinese authorities for the oppose court result stance.,A/B/C=3.0/4.0/3.0
RV032,DOC-006,CASE-006-I01,Whether elevator-installation participants may remove obstruction despite voting defects,Removal-of-obstruction dispute,Property,Support court result,Closed-book Chinese civil-case analysis. The model must support court result for issue: Whether elevator-installation participants may remove obstruction despite voting defects.,"Court result: voting defects did not by themselves defeat the elevator plan, and obstruction could be removed.",Grok 4.20,English preview only: model generated a two-paragraph legal analysis grounded in cited Chinese authorities for the support court result stance.,A/B/C=3.0/4.0/3.0
RV007,DOC-002,CASE-002-I01,Whether objections by two hospitals required a renewed expert appraisal,Medical malpractice liability dispute,Tort,Oppose court result,Closed-book Chinese civil-case analysis. The model must oppose court result for issue: Whether objections by two hospitals required a renewed expert appraisal.,Court result: written objections by hospitals did not require reopening the appraisal procedure.,Grok 4.20,English preview only: model generated a two-paragraph legal analysis grounded in cited Chinese authorities for the oppose court result stance.,A/B/C=3.0/4.0/3.0
RV008,DOC-002,CASE-002-I01,Whether objections by two hospitals required a renewed expert appraisal,Medical malpractice liability dispute,Tort,Support court result,Closed-book Chinese civil-case analysis. The model must support court result for issue: Whether objections by two hospitals required a renewed expert appraisal.,Court result: written objections by hospitals did not require reopening the appraisal procedure.,Grok 4.20,English preview only: model generated a two-paragraph legal analysis grounded in cited Chinese authorities for the support court result stance.,A/B/C=4.0/4.0/4.0
RV003,DOC-001,CASE-001-I02,How the overdue-payment liquidated-damages rate should be evaluated,Sales contract dispute,Contract,Oppose court result,Closed-book Chinese civil-case analysis. The model must oppose court result for issue: How the overdue-payment liquidated-damages rate should be evaluated.,Court result: the contract's high liquidated-damages rate was reduced rather than applied mechanically.,Grok 4.20,English preview only: model generated a two-paragraph legal analysis grounded in cited Chinese authorities for the oppose court result stance.,A/B/C=4.0/4.0/4.0
RV004,DOC-001,CASE-001-I02,How the overdue-payment liquidated-damages rate should be evaluated,Sales contract dispute,Contract,Support court result,Closed-book Chinese civil-case analysis. The model must support court result for issue: How the overdue-payment liquidated-damages rate should be evaluated.,Court result: the contract's high liquidated-damages rate was reduced rather than applied mechanically.,Grok 4.20,English preview only: model generated a two-paragraph legal analysis grounded in cited Chinese authorities for the support court result stance.,A/B/C=4.0/4.0/4.0
RV055,DOC-011,CASE-011-I01,Whether the court should order continued property-transfer registration,Real-estate sales contract dispute,Property,Oppose court result,Closed-book Chinese civil-case analysis. The model must oppose court result for issue: Whether the court should order continued property-transfer registration.,Court result: the seller was ordered to continue performance and assist with property-transfer registration.,Grok 4.20,English preview only: model generated a two-paragraph legal analysis grounded in cited Chinese authorities for the oppose court result stance.,A/B/C=3.0/4.0/3.0
RV056,DOC-011,CASE-011-I01,Whether the court should order continued property-transfer registration,Real-estate sales contract dispute,Property,Support court result,Closed-book Chinese civil-case analysis. The model must support court result for issue: Whether the court should order continued property-transfer registration.,Court result: the seller was ordered to continue performance and assist with property-transfer registration.,Grok 4.20,English preview only: model generated a two-paragraph legal analysis grounded in cited Chinese authorities for the support court result stance.,A/B/C=2.0/3.0/3.0
